SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-17-2019,Condo/Co-op,3816 Roseland Ave Unit D 200,Dallas,TX,75204,459000,3,2.5,3816 Roseland Condominium,2150,7057,2016,82,213,350,Sold,,,http://www.redfin.com/TX/Dallas/3816-Roseland-Ave-75204/unit-D-200/home/146964877,NTREIS,13922329,N,Y,32.798923,-96.786372
PAST SALE,February-12-2019,Single Family Residential,6443 San Saba,Irving,TX,75039,439990,3,2.5,La Villita Ph 1f,2451,4443,2007,56,180,44,Sold,,,http://www.redfin.com/TX/Irving/6443-San-Saba-75039/home/30778829,NTREIS,13943046,N,Y,32.8978812,-96.931045
PAST SALE,February-22-2019,Condo/Co-op,4611 Travis St Unit 1401B,Dallas,TX,75205,475000,2,2.0,Travis Knox Condos,1552,26920,2000,46,306,893,Sold,,,http://www.redfin.com/TX/Dallas/4611-Travis-St-75205/unit-1401B/home/30765919,NTREIS,13949774,N,Y,32.8243394,-96.7902695
PAST SALE,February-20-2019,Single Family Residential,11022 Yorkspring,Dallas,TX,75218,460000,3,2.5,Lochwood Meadows,2314,8581,1968,48,199,,Sold,,,http://www.redfin.com/TX/Dallas/11022-Yorksprings-Pl-75218/home/148007057,NTREIS,13965918,N,Y,32.8606457,-96.6950973
PAST SALE,March-5-2019,Multi-Family (2-4 Unit),6101 Victor St,Dallas,TX,75214,444500,4,2.0,Hillcrest Add,2416,7884,1926,35,184,,Sold,,,http://www.redfin.com/TX/Dallas/6101-Victor-St-75214/home/30802403,NTREIS,13980545,N,Y,32.8080124,-96.7518401
PAST SALE,January-18-2019,Single Family Residential,2323 Kirby St,Dallas,TX,75204,499999,3,1.5,Milimo Terrace,1887,8276,1930,81,265,,Sold,,,http://www.redfin.com/TX/Dallas/2323-Kirby-St-75204/home/30809512,NTREIS,13897698,N,Y,32.8090226,-96.7835546
PAST SALE,February-5-2019,Townhouse,4075 Buena Vista St,Dallas,TX,75204,435000,2,2.5,Buena Vista Townhouse,1317,2047,1973,63,330,200,Sold,,,http://www.redfin.com/TX/Dallas/4075-Buena-Vista-St-75204/home/30798901,NTREIS,13984847,N,Y,32.8155675,-96.7960334
PAST SALE,February-4-2019,Townhouse,4119 Throckmorton St,Dallas,TX,75219,499000,3,2.5,Oxbridge Add,2070,2091,1997,64,241,,Sold,,,http://www.redfin.com/TX/Dallas/4119-Throckmorton-St-75219/home/31124175,NTREIS,13928234,N,Y,32.8194106,-96.8047257
PAST SALE,January-22-2019,Single Family Residential,6306 Martel Ave,Dallas,TX,75214,425000,3,1.0,Wilshire Heights,1251,8102,1948,77,340,,Sold,,,http://www.redfin.com/TX/Dallas/6306-Martel-Ave-75214/home/30820872,NTREIS,13990802,N,Y,32.8318087,-96.7556058
PAST SALE,March-8-2019,Single Family Residential,8618 Columbia Dr,Rowlett,TX,75089,499000,3,2.5,Spinnaker Cove #2,2118,7275,1986,32,236,,Sold,,,http://www.redfin.com/TX/Rowlett/8618-Columbia-Dr-75089/home/33923846,NTREIS,14001467,N,Y,32.9348222,-96.5164128
