SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-13-2019,Condo/Co-op,3311 Blackburn St #215,Dallas,TX,75204,218000,1,1.0,Colonade At Turtle Creek Condo,709,60113,1982,55,307,232,Sold,,,http://www.redfin.com/TX/Dallas/3311-Blackburn-St-75204/unit-215/home/30745185,NTREIS,13996440,N,Y,32.8104065,-96.7979641
PAST SALE,February-28-2019,Single Family Residential,5784 Goldfinch Way,Dallas,TX,75249,215000,4,2.0,Hunters Bend Ph 02,1882,6403,2004,40,114,20,Sold,,,http://www.redfin.com/TX/Dallas/5784-Goldfinch-Way-75249/home/30744080,NTREIS,14011816,N,Y,32.652378,-96.976162
PAST SALE,March-1-2019,Single Family Residential,8704 Woodbrook Dr,Dallas,TX,75243,232500,3,2.0,Northwood Estates,1288,7536,1956,39,181,,Sold,,,http://www.redfin.com/TX/Dallas/8704-Woodbrook-Dr-75243/home/31028823,NTREIS,14008040,N,Y,32.8956265,-96.7535985
PAST SALE,March-26-2019,Condo/Co-op,6030 Birchbrook Dr #121,Dallas,TX,75206,208500,2,2.0,Danbury Condo,1234,259792,1970,14,169,517,Sold,,,http://www.redfin.com/TX/Dallas/6030-Birchbrook-Dr-75206/unit-121/home/30867636,NTREIS,14010025,N,Y,32.8477575,-96.7635476
PAST SALE,February-19-2019,Single Family Residential,9814 Cypress Cv,Rowlett,TX,75087,221500,3,2.0,Cypress Cove,1906,6050,1993,49,116,25,Sold,,,http://www.redfin.com/TX/Rockwall/9814-Cypress-Cv-75087/home/33929852,NTREIS,14003410,N,Y,32.9148041,-96.5043307
PAST SALE,April-3-2019,Single Family Residential,3213 Glen Hill Dr,Rowlett,TX,75088,217900,3,2.0,Hillcrest Estates,1610,7536,1985,6,135,,Sold,,,http://www.redfin.com/TX/Rowlett/3213-Glen-Hill-Dr-75088/home/31997989,NTREIS,14016336,N,Y,32.8908831,-96.5334151
PAST SALE,April-5-2019,Condo/Co-op,6342 Bordeaux Ave,Dallas,TX,75209,220000,2,1.0,Bordeaux Village Condos,1029,649915,1951,4,214,264,Sold,,,http://www.redfin.com/TX/Dallas/6342-Bordeaux-Ave-75209/home/31138014,NTREIS,14028353,N,Y,32.8341722,-96.8246557
PAST SALE,February-22-2019,Single Family Residential,2427 Poinciana Pl,Dallas,TX,75212,210000,3,2.0,Greenleaf Village Ph 01,1671,4487,2003,46,126,17,Sold,,,http://www.redfin.com/TX/Dallas/2427-Poinciana-Pl-75212/home/32257548,NTREIS,14005109,N,Y,32.7923919,-96.861716
PAST SALE,March-27-2019,Single Family Residential,7976 Harmony Creek Rd,Dallas,TX,75237,209995,4,2.5,UNITY ESTATES PH 2,2330,7797,2002,13,90,16,Sold,,,http://www.redfin.com/TX/Dallas/7976-Harmony-Creek-Rd-75237/home/30728579,NTREIS,14007226,N,Y,32.6515427,-96.8618417
PAST SALE,March-20-2019,Single Family Residential,822 Granada Dr,Duncanville,TX,75116,225000,4,2.0,Forest Hills 11,2193,8102,1972,20,103,,Sold,,,http://www.redfin.com/TX/Duncanville/822-Granada-Dr-75116/home/31313718,NTREIS,14013683,N,Y,32.6547292,-96.8918843
