SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-22-2019,Condo/Co-op,5590 Spring Valley Rd Unit H205,Dallas,TX,75254,165000,2,2.0,Springmont Condo Ph 01-04,920,130680,1983,46,179,263,Sold,,,http://www.redfin.com/TX/Dallas/5590-Spring-Valley-Rd-75254/unit-205/home/31186678,NTREIS,13974387,N,Y,32.938787,-96.811483
PAST SALE,March-4-2019,Condo/Co-op,5619 Preston Oaks Rd #603,Dallas,TX,75254,165000,2,1.5,Oaks Of Preston Ridge Condo,977,99099,1983,36,169,296,Sold,,,http://www.redfin.com/TX/Dallas/5619-Preston-Oaks-Rd-75254/unit-603/home/31177670,NTREIS,13993814,N,Y,32.9442753,-96.8101784
PAST SALE,February-21-2019,Single Family Residential,730 Rolling Ridge Ln,Duncanville,TX,75116,164900,3,1.0,Irwin Keasler Dev Red Bird 04,1290,12197,1969,47,128,,Sold,,,http://www.redfin.com/TX/Duncanville/730-Rolling-Ridge-Ln-75116/home/32074651,NTREIS,14001293,N,Y,32.6605059,-96.9242049
PAST SALE,February-14-2019,Single Family Residential,3118 Carlson Dr,Dallas,TX,75235,199000,3,2.0,Cherrywood 03,1527,7405,1948,54,130,,Sold,,,http://www.redfin.com/TX/Dallas/3118-Carlson-Dr-75235/home/30814332,NTREIS,13958667,N,Y,32.8249003,-96.8287569
PAST SALE,January-11-2019,Single Family Residential,3730 Stateoak Dr,Dallas,TX,75241,164900,4,2.0,Highland Hills,1600,6708,2018,88,103,,Sold,,,http://www.redfin.com/TX/Dallas/3730-State-Oak-Dr-75241/home/30946686,NTREIS,13969399,N,Y,32.6722733,-96.7585059
PAST SALE,February-11-2019,Condo/Co-op,5833 Birchbrook Dr #208,Dallas,TX,75206,185000,2,2.0,Birchbrook I Condo,1309,132553,1968,57,141,320,Sold,,,http://www.redfin.com/TX/Dallas/5833-Birchbrook-Dr-75206/unit-208/home/147428172,NTREIS,13965029,N,Y,32.8475663,-96.7663379
PAST SALE,March-28-2019,Townhouse,6709 Ports O Call Dr,Rowlett,TX,75088,165000,2,2.0,Vue Du Lac,1171,3572,1983,12,141,55,Sold,,,http://www.redfin.com/TX/Rowlett/6709-Ports-O-Call-Dr-75088/home/32028432,NTREIS,14032892,N,Y,32.884126,-96.537495
PAST SALE,January-18-2019,Single Family Residential,3003 S Denley Dr,Dallas,TX,75216,174900,4,2.0,Brightside,1517,7710,2018,81,115,,Sold,,,http://www.redfin.com/TX/Dallas/3003-S-Denley-Dr-75216/home/30837703,NTREIS,13968995,N,Y,32.7105442,-96.8051462
PAST SALE,February-8-2019,Single Family Residential,6119 Balcony Ln,Dallas,TX,75241,165000,4,2.0,College Terrace Ph 02,1779,7013,2010,60,93,,Sold,,,http://www.redfin.com/TX/Dallas/6119-Balcony-Ln-75241/home/30763517,NTREIS,14009100,N,Y,32.668767,-96.7703746
PAST SALE,March-1-2019,Single Family Residential,1417 Duet Dr,Dallas,TX,75241,155000,3,2.0,Singing Hills,1552,8973,1981,39,100,,Sold,,,http://www.redfin.com/TX/Dallas/1417-Duet-Dr-75241/home/30951374,NTREIS,14008340,N,Y,32.6658733,-96.8003332
PAST SALE,March-15-2019,Single Family Residential,7743 Brownsville Ave,Dallas,TX,75216,154000,3,2.0,Honey Spgs,1262,7492,2018,25,122,,Sold,,,http://www.redfin.com/TX/Dallas/7743-Brownsville-Ave-75216/home/31039933,NTREIS,13927959,N,Y,32.716496,-96.749916
PAST SALE,April-4-2019,Single Family Residential,2970 Marjorie Ave,Dallas,TX,75216,164900,4,2.0,Sunnyvale,1348,7492,1954,5,122,,Sold,,,http://www.redfin.com/TX/Dallas/2970-Marjorie-Ave-75216/home/30886555,NTREIS,14034247,N,Y,32.7006228,-96.7728323
PAST SALE,April-5-2019,Single Family Residential,5117 Rocky Ridge Rd,Dallas,TX,75241,175000,4,3.0,Glenview 82,2033,9757,1956,4,86,,Sold,,,http://www.redfin.com/TX/Dallas/5117-Rocky-Ridge-Rd-75241/home/30936363,NTREIS,14000209,N,Y,32.6823739,-96.8196504
PAST SALE,March-5-2019,Single Family Residential,6911 Coleshire Dr,Dallas,TX,75232,150000,3,1.0,Oakland Hills 01,1404,7754,1956,35,107,,Sold,,,http://www.redfin.com/TX/Dallas/6911-Coleshire-Dr-75232/home/30937237,NTREIS,13973953,N,Y,32.6642445,-96.8287145
PAST SALE,April-4-2019,Single Family Residential,437 Bluewood Dr,Dallas,TX,75232,165000,4,2.0,Oakland Hills Sec 01,1471,8146,1958,5,112,,Sold,,,http://www.redfin.com/TX/Dallas/437-Bluewood-Dr-75232/home/30938426,NTREIS,14029055,N,Y,32.6618903,-96.8281807
PAST SALE,February-28-2019,Condo/Co-op,166 Henry M Chandler Dr,Rockwall,TX,75032,149000,2,2.0,Spyglass Hill #3,1174,2919,1983,40,127,313,Sold,,,http://www.redfin.com/TX/Rockwall/166-Henry-M-Chandler-Dr-75032/home/33923950,NTREIS,14018059,N,Y,32.8763354,-96.4786854
PAST SALE,January-18-2019,Single Family Residential,9658 Pinehurst Ln,Dallas,TX,75227,165000,3,2.5,Independence Park #3,1347,3877,1986,81,122,,Sold,,,http://www.redfin.com/TX/Dallas/9658-Pinehurst-Ln-75227/home/31148570,NTREIS,13949105,N,Y,32.7648673,-96.6552303
PAST SALE,February-12-2019,Single Family Residential,9730 Labett St,Dallas,TX,75217,169900,3,1.0,Forest Heights 02,1142,15072,1959,56,149,,Sold,,,http://www.redfin.com/TX/Dallas/9730-Labett-Dr-75217/home/31104779,NTREIS,13984200,N,Y,32.6788667,-96.6546457
PAST SALE,February-28-2019,Single Family Residential,1012 Brae Loch Dr,Dallas,TX,75217,159900,3,2.0,Heritage Square 04 Ph 02,1379,5097,1991,40,116,,Sold,,,http://www.redfin.com/TX/Dallas/1012-Brae-Loch-Dr-75217/home/31141754,NTREIS,14012834,N,Y,32.7281285,-96.6525579
PAST SALE,March-26-2019,Single Family Residential,624 Delphinium Dr,Dallas,TX,75217,172000,3,2.0,Flowers,1497,5097,2006,14,115,,Sold,,,http://www.redfin.com/TX/Dallas/624-Delphinium-Dr-75217/home/30763777,NTREIS,13971759,N,Y,32.7030725,-96.6529755
PAST SALE,January-18-2019,Single Family Residential,301 Oakhurst Dr,Seagoville,TX,75159,168900,4,2.5,Oakridge South Sub,1658,9365,2004,81,102,,Sold,,,http://www.redfin.com/TX/Seagoville/301-Oakhurst-Dr-75159/home/30757916,NTREIS,13987705,N,Y,32.65998,-96.5920409
PAST SALE,March-15-2019,Single Family Residential,726 Trinity Ln,Dallas,TX,75241,159000,3,2.0,Wisdom Terrace Ph 03,1847,5009,2004,25,86,,Sold,,,http://www.redfin.com/TX/Dallas/726-Trinity-Ln-75241/home/30730836,NTREIS,14024240,N,Y,32.6550022,-96.8128479
PAST SALE,February-25-2019,Condo/Co-op,14333 Preston Rd #1001,Dallas,TX,75254,152000,1,1.5,Preston On Lake Condo,896,,1982,43,170,208,Sold,,,http://www.redfin.com/TX/Dallas/14333-Preston-Rd-75254/unit-1001/home/147464191,NTREIS,14000550,N,Y,32.9442398,-96.8039236
PAST SALE,March-29-2019,Single Family Residential,504 S Gilpin Ave,Dallas,TX,75211,162500,3,2.0,,1344,5994,1945,11,121,,Sold,,,http://www.redfin.com/TX/Dallas/504-S-Gilpin-Ave-75211/home/30858277,NTREIS,14028091,N,Y,32.7408363,-96.8807791
PAST SALE,March-29-2019,Single Family Residential,2934 Cowboy Dr,Dallas,TX,75237,178000,3,2.0,Wisdom Creek Ph 01,1373,5750,2004,11,130,20,Sold,,,http://www.redfin.com/TX/Dallas/2934-Cowboy-Dr-75237/home/30741893,NTREIS,14010335,N,Y,32.659431,-96.8646066
PAST SALE,February-11-2019,Single Family Residential,3724 Sidney Dr,Mesquite,TX,75150,147500,3,1.5,Casa View Heights 21 Sec 01,1228,7449,1962,57,120,,Sold,,,http://www.redfin.com/TX/Mesquite/3724-Sidney-Dr-75150/home/31817222,NTREIS,13996842,N,Y,32.8195597,-96.6558567
PAST SALE,February-25-2019,Condo/Co-op,7700 Meadow Rd #134,Dallas,TX,75230,163500,1,1.0,Belle Meadow Condo,818,131900,1963,43,200,361,Sold,,,http://www.redfin.com/TX/Dallas/7700-Meadow-Rd-75230/unit-134/home/160540349,NTREIS,14031382,N,Y,32.8863079,-96.774788
