SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-18-2019,Multi-Family (2-4 Unit),7281 Pineberry Rd,Dallas,TX,75249,82500,3,1.0,Woods,1136,3311,1982,81,73,,Sold,,,http://www.redfin.com/TX/Dallas/7281-Pineberry-Rd-75249/home/31116108,NTREIS,14004093,N,Y,32.6350271,-96.9482795
PAST SALE,February-20-2019,Condo/Co-op,7340 Skillman St #1220,Dallas,TX,75231,89900,1,1.0,Oaks On The Bend Condos Ph 01-04,595,275865,1983,48,151,198,Sold,,,http://www.redfin.com/TX/Dallas/7340-Skillman-St-75231/unit-1220/home/31179198,NTREIS,13790337,N,Y,32.8821185,-96.7346622
PAST SALE,February-8-2019,Vacant Land,2723 Frazier St,Dallas,TX,75210,15600,0,,Mays Brook Spring Ave,,4269,,60,,,Sold,,,http://www.redfin.com/TX/Dallas/2723-Frazier-St-75210/home/30805456,NTREIS,13954610,N,Y,32.774053,-96.744749
PAST SALE,February-7-2019,Single Family Residential,1011 S Winnetka Ave,Dallas,TX,75208,185000,2,1.0,Melrose 02,720,6665,1937,61,257,,Sold,,,http://www.redfin.com/TX/Dallas/1011-S-Winnetka-Ave-75208/home/30831730,NTREIS,13998970,N,Y,32.7355853,-96.8420262
PAST SALE,February-15-2019,Vacant Land,2822 Dawson St,Dallas,TX,75226,30000,0,,Gano & Eakins,,5009,,53,,,Sold,,,http://www.redfin.com/TX/Dallas/2822-Dawson-St-75226/home/30794048,NTREIS,14006566,N,Y,32.778744,-96.7772467
PAST SALE,January-28-2019,Single Family Residential,2600 Idaho Ave,Dallas,TX,75216,42900,2,1.0,Broadmoor,912,7492,1923,71,47,,Sold,,,http://www.redfin.com/TX/Dallas/2600-Idaho-Ave-75216/home/30837554,NTREIS,13976175,N,Y,32.7166227,-96.8118747
PAST SALE,February-13-2019,Single Family Residential,2803 Fordham Rd,Dallas,TX,75216,100895,3,2.0,Oak Cliff Estates,1248,28270,2006,55,81,,Sold,,,http://www.redfin.com/TX/Dallas/2803-Fordham-Rd-75216/home/30904837,NTREIS,13814211,N,Y,32.7087516,-96.7782395
PAST SALE,February-13-2019,Single Family Residential,2434 Marjorie Ave,Dallas,TX,75216,39900,1,1.0,Evelyn Heights,856,8886,1935,55,47,,Sold,,,http://www.redfin.com/TX/Dallas/2434-Marjorie-Ave-75216/home/30857765,NTREIS,13998531,N,Y,32.6956342,-96.7820467
PAST SALE,February-19-2019,Single Family Residential,2722 Prosperity Ave,Dallas,TX,75216,75000,3,1.0,Oak Cliff Estates,962,9148,1956,49,78,,Sold,,,http://www.redfin.com/TX/Dallas/2722-Prosperity-Ave-75216/home/30905006,NTREIS,13984133,N,Y,32.7095945,-96.7815342
PAST SALE,March-6-2019,Single Family Residential,1245 E Louisiana Ave,Dallas,TX,75216,68900,3,2.0,TRINITY HEIGHTS,1540,10890,1923,34,45,,Sold,,,http://www.redfin.com/TX/Dallas/1245-E-Louisiana-Ave-75216/home/30834430,NTREIS,14029971,N,Y,32.7240526,-96.8058368
PAST SALE,March-29-2019,Vacant Land,4166 Easter Ave,Dallas,TX,75216,9900,0,,Oak Cliff Gardens,,,,11,,,Sold,,,http://www.redfin.com/TX/Dallas/4166-Easter-Ave-75216/home/30854947,NTREIS,14042544,N,Y,32.700135,-96.79008
PAST SALE,March-6-2019,Single Family Residential,1310 Hendricks Ave,Dallas,TX,75216,79900,3,1.0,Edgemont,1599,7318,1927,34,50,,Sold,,,http://www.redfin.com/TX/Dallas/1310-Hendricks-Ave-75216/home/30832595,NTREIS,13954783,N,Y,32.7380347,-96.8049714
