SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,9317 Midway Rd,Dallas,TX,75220,1745000,4,4.0,Cochran Heights Add 02,4357,24306,2015,66,401,,Active,April-14-2019 02:00 PM,April-14-2019 04:00 PM,http://www.redfin.com/TX/Dallas/9317-Midway-Rd-75220/home/30855886,NTREIS,13999995,N,Y,32.8659783,-96.8379295
MLS Listing,,Single Family Residential,7814 Bryn Mawr Dr,Dallas,TX,75225,1995000,4,4.5,Caruth Hills 5,4876,11195,2011,1,409,,Active,,,http://www.redfin.com/TX/Dallas/7814-Bryn-Mawr-Dr-75225/home/30871439,NTREIS,14051627,N,Y,32.8557435,-96.7724453
MLS Listing,,Single Family Residential,11219 Shelterwood Ln,Dallas,TX,75229,1325000,4,3.5,Russwood Acres 01 Instl,3467,21998,1961,1,382,,Active,,,http://www.redfin.com/TX/Dallas/11219-Shelterwood-Ln-75229/home/30876993,NTREIS,14054652,N,Y,32.9002777,-96.82099
MLS Listing,,Single Family Residential,5330 Tanbark Rd,Dallas,TX,75229,1425000,4,4.5,Russwood Acres 04 Inst Sec 02,4302,22477,1967,1,331,,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/5330-Tanbark-Rd-75229/home/30926107,NTREIS,14051031,N,Y,32.8968287,-96.8152065
MLS Listing,,Single Family Residential,6511 Clubhouse Cir,Dallas,TX,75240,1799000,4,4.0,Coterie 02,5077,13329,1981,1,354,,Active,,,http://www.redfin.com/TX/Dallas/6511-Clubhouse-Cir-75240/home/31017407,NTREIS,14053153,N,Y,32.927645,-96.796462
MLS Listing,,Single Family Residential,4303 Enfield Dr,Dallas,TX,75220,1875000,4,4.5,Midway Northwest Estates,3744,21824,1986,1,501,,Active,March-31-2019 01:00 PM,March-31-2019 03:00 PM,http://www.redfin.com/TX/Dallas/4303-Enfield-Dr-75220/home/31136777,NTREIS,14045754,N,Y,32.8657191,-96.8353302
MLS Listing,,Single Family Residential,6933 Delrose Dr,Dallas,TX,75214,1650000,4,3.5,Rex Newsom,3835,21606,1979,1,430,,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/6933-Delrose-Dr-75214/home/30819946,NTREIS,14053953,N,Y,32.8255565,-96.7397608
MLS Listing,,Single Family Residential,6905 Forest Glen Dr,Dallas,TX,75230,1549000,3,3.5,Lake Forest Ph C,5245,8581,2000,1,295,492,Active,,,http://www.redfin.com/TX/Dallas/6905-Forest-Glen-Dr-75230/home/31150710,NTREIS,14053971,N,Y,32.9134982,-96.7858333
MLS Listing,,Single Family Residential,6115 Royalton Dr,Dallas,TX,75230,1679000,5,6.0,Preston Royal,5375,16030,2005,1,312,,Active,March-31-2019 03:00 PM,March-31-2019 05:00 PM,http://www.redfin.com/TX/Dallas/6115-Royalton-Dr-75230/home/30876815,NTREIS,14053560,N,Y,32.8972202,-96.8014841
MLS Listing,,Single Family Residential,5415 Walnut Hill Ln,Dallas,TX,75229,1499000,4,3.5,Broadmoor Park,3683,41382,1950,1,407,,Active,March-31-2019 01:00 PM,March-31-2019 03:00 PM,http://www.redfin.com/TX/Dallas/5415-Walnut-Hill-Ln-75229/home/30877971,NTREIS,14053181,N,Y,32.8805498,-96.8149778
