SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,10101 Edgeway Cir,Rowlett,TX,75089,385000,3,3.0,Waters Edge Ph 1,2652,10019,2014,17,145,92,Active,,,http://www.redfin.com/TX/Rowlett/10101-Edgeway-Cir-75089/home/58647858,NTREIS,14042025,N,Y,32.9473151,-96.5197463
MLS Listing,,Condo/Co-op,1001 Belleview St #506,Dallas,TX,75215,382000,2,2.0,Beat At The South Side Station,1198,41077,2007,22,319,453,Active,,,http://www.redfin.com/TX/Dallas/1001-Belleview-St-75215/unit-506/home/30788526,NTREIS,14038281,N,Y,32.769071,-96.7948718
MLS Listing,,Condo/Co-op,4904 Live Oak St #303,Dallas,TX,75206,385000,2,2.5,Metropolitan On Live Oak Ph 1a,1745,29664,2005,99,221,343,Active,,,http://www.redfin.com/TX/Dallas/4904-Live-Oak-St-75206/unit-303/home/30772982,NTREIS,13986972,N,Y,32.8027566,-96.772089
MLS Listing,,Condo/Co-op,4202 Camden Ave,Dallas,TX,75206,399000,2,2.0,Montebello Park,1118,6403,1940,1,357,,Active,,,http://www.redfin.com/TX/Dallas/4202-Camden-Ave-75206/home/30822136,NTREIS,14054817,N,Y,32.8367023,-96.7632635
MLS Listing,,Townhouse,4810 Chambers St,Dallas,TX,75204,399900,2,2.5,Chambers Corner,1641,1002,2018,1,244,150,Active,,,http://www.redfin.com/TX/Dallas/4810-Chambers-St-75204/home/110137217,NTREIS,14050293,N,Y,32.8084314,-96.7793489
MLS Listing,,Condo/Co-op,2200 Victory Ave #2206,Dallas,TX,75219,375000,1,1.0,The House,894,53709,2007,1,419,750,Active,,,http://www.redfin.com/TX/Dallas/2200-Victory-Ave-75219/unit-2206/home/30782507,NTREIS,14047909,N,Y,32.7849571,-96.8096512
MLS Listing,,Single Family Residential,9708 Lakemont Dr,Dallas,TX,75220,400000,2,1.0,Glenridge Estates,1189,5881,1952,1,336,,Active,,,http://www.redfin.com/TX/Dallas/9708-Lakemont-Dr-75220/home/30910295,NTREIS,14053536,N,Y,32.8756765,-96.8424557
MLS Listing,,Single Family Residential,8529 Rolling Rock Ln,Dallas,TX,75238,399900,3,2.0,First Instl Lakeland Hills Rep,1626,7971,1956,1,246,,Active,,,http://www.redfin.com/TX/Dallas/8529-Rolling-Rock-Ln-75238/home/31021924,NTREIS,14053550,N,Y,32.8653332,-96.6932407
MLS Listing,,Single Family Residential,694 Hollow Ridge Pl,Coppell,TX,75019,395000,3,2.0,Hollows Northlake Woodlands,2193,10324,2002,2,180,10,Active,,,http://www.redfin.com/TX/Coppell/694-Hollow-Ridge-Pl-75019/home/32201987,NTREIS,14049622,N,Y,32.9542794,-96.9630602
MLS Listing,,Townhouse,724 Cannen John Ln,Dallas,TX,75204,399000,2,2.5,Habitat At 3020,1766,1220,2005,2,226,85,Active,,,http://www.redfin.com/TX/Dallas/724-Cannen-John-Ln-75204/home/30761028,NTREIS,14043003,N,Y,32.791246,-96.787527
MLS Listing,,Townhouse,3915 Cole Ave #2,Dallas,TX,75204,399900,2,2.5,3915 Cole Ave Condos,2038,9496,2001,2,196,,Active,,,http://www.redfin.com/TX/Dallas/3915-Cole-Ave-75204/unit-2/home/40149582,NTREIS,14053629,N,Y,32.8109445,-96.7955511
MLS Listing,,Single Family Residential,6427 Wrenwood Dr,Dallas,TX,75252,399000,3,2.5,Preston Highlands,2184,7841,1982,2,183,15,Active,,,http://www.redfin.com/TX/Dallas/6427-Wrenwood-Dr-75252/home/32164928,NTREIS,14053258,N,Y,33.0035397,-96.7922982
MLS Listing,,Single Family Residential,3037 Westminster Dr,Farmers Branch,TX,75234,389000,3,2.5,Chapel Glen,2418,14201,1996,2,161,83,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Farmers-Branch/3037-Westminster-Dr-75234/home/31333027,NTREIS,14052466,N,Y,32.9163078,-96.8735722
MLS Listing,,Single Family Residential,3668 Norcross Ln,Dallas,TX,75229,400000,3,2.0,Walnut Hill North 03,1652,10019,1956,3,242,,Active,March-31-2019 01:00 PM,March-31-2019 03:00 PM,http://www.redfin.com/TX/Dallas/3668-Norcross-Ln-75229/home/30929587,NTREIS,14052332,N,Y,32.8902186,-96.8578151
MLS Listing,,Single Family Residential,8541 Capri Dr,Dallas,TX,75238,379900,3,2.5,Caribbean Estates,2004,8886,1972,3,190,,Active,,,http://www.redfin.com/TX/Dallas/8541-Capri-Dr-75238/home/31044524,NTREIS,14052152,N,Y,32.8657105,-96.6952045
MLS Listing,,Single Family Residential,6529 Kingsbury Dr,Dallas,TX,75231,375000,3,2.0,Merriman Park,1675,10454,1963,4,224,,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/6529-Kingsbury-Dr-75231/home/30870904,NTREIS,14047368,N,Y,32.8559578,-96.7428968
MLS Listing,,Single Family Residential,9224 Coral Cove Dr,Dallas,TX,75243,395000,4,2.5,Town Creek,2409,8973,1974,4,164,,Active,,,http://www.redfin.com/TX/Dallas/9224-Coral-Cove-Dr-75243/home/31069418,NTREIS,14051186,N,Y,32.9029953,-96.7368976
MLS Listing,,Single Family Residential,6902 Vista Willow Dr,Dallas,TX,75248,385000,4,3.0,Prestonwood,2466,11805,1976,4,156,,Active,,,http://www.redfin.com/TX/Dallas/6902-Vista-Willow-Dr-75248/home/31080131,NTREIS,14051259,N,Y,32.9737354,-96.7887414
MLS Listing,,Townhouse,17214 Lechlade Ln,Dallas,TX,75252,400000,3,2.5,Amber Trails 02,1947,741,2005,5,205,325,Active,,,http://www.redfin.com/TX/Dallas/17214-Lechlade-Ln-75252/home/30743544,NTREIS,14050494,N,Y,32.9854393,-96.8057031
MLS Listing,,Single Family Residential,17582 Sequoia Dr,Dallas,TX,75252,398990,3,2.0,University Place,1800,4400,2019,5,222,54,Active,,,http://www.redfin.com/TX/Dallas/17582-Sequoia-Dr-75252/home/160755552,NTREIS,14050482,N,Y,32.990862,-96.761506
MLS Listing,,Condo/Co-op,2323 N Houston St N #310,Dallas,TX,75219,399000,2,2.0,Terrace Condos,1382,39727,2005,6,289,775,Active,,,http://www.redfin.com/TX/Dallas/2323-N-Houston-St-75219/unit-310/home/30765333,NTREIS,14043587,N,Y,32.7850316,-96.8100004
MLS Listing,,Condo/Co-op,6016 Hudson St #4,Dallas,TX,75206,385000,2,2.5,Munger Place,1420,7013,2019,8,271,255,Active,March-31-2019 03:00 AM,March-31-2019 05:00 PM,http://www.redfin.com/TX/Dallas/6016-Hudson-St-75206/unit-4/home/160726075,NTREIS,14048343,N,Y,32.810251,-96.7648873
MLS Listing,,Single Family Residential,16808 Old Pond Dr,Dallas,TX,75248,399900,4,3.0,Hillcrest Manor 2nd Sec,2668,9496,1976,8,150,6,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/16808-Old-Pond-Dr-75248/home/31108215,NTREIS,14046566,N,Y,32.9804082,-96.7820049
MLS Listing,,Condo/Co-op,3801 Gilbert Ave Unit L,Dallas,TX,75219,375000,2,2.5,Gilbert Condo 3801,1963,24002,1981,8,191,634,Active,,,http://www.redfin.com/TX/Dallas/3801-Gilbert-Ave-75219/unit-L/home/30799883,NTREIS,14048202,N,Y,32.8142434,-96.8032189
MLS Listing,,Condo/Co-op,6231 Bandera Ave Unit D,Dallas,TX,75225,385000,2,2.0,Harcourt House Condo,1772,86249,1958,8,217,685,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/6231-Bandera-Ave-75225/unit-D/home/31171039,NTREIS,14040301,N,Y,32.8678155,-96.7992213
MLS Listing,,Condo/Co-op,8616 Turtle Creek Blvd #323,Dallas,TX,75225,399900,2,2.5,Sorrento Condos,1288,,2006,8,310,656,Active,,,http://www.redfin.com/TX/Dallas/8616-Turtle-Creek-Blvd-75225/unit-323/home/30783443,NTREIS,14047174,N,Y,32.8661655,-96.7894867
MLS Listing,,Single Family Residential,7938 Woodstone Ln,Dallas,TX,75248,399750,4,2.5,Spring Creek,2103,17947,1968,9,190,4,Active,March-31-2019 01:00 PM,March-31-2019 03:00 PM,http://www.redfin.com/TX/Dallas/7938-Woodstone-Ln-75248/home/31074817,NTREIS,14047027,N,Y,32.9556248,-96.7705419
MLS Listing,,Single Family Residential,3406 Jubilee Trl,Dallas,TX,75229,394000,3,2.0,Kenilworth Estates,1917,14462,1960,9,206,,Active,,,http://www.redfin.com/TX/Dallas/3406-Jubilee-Trl-75229/home/30931276,NTREIS,14046536,N,Y,32.9002005,-96.8620512
MLS Listing,,Single Family Residential,5605 Worth St,Dallas,TX,75214,395000,3,2.0,Junius Heights Add,1754,7492,1936,10,225,,Active,,,http://www.redfin.com/TX/Dallas/5605-Worth-St-75214/home/30800105,NTREIS,14046581,N,Y,32.8046012,-96.7598338
MLS Listing,,Single Family Residential,417 N Montreal Ave,Dallas,TX,75208,399900,4,2.0,L O Daniel Jr,1821,7710,1943,10,220,,Active,,,http://www.redfin.com/TX/Dallas/417-N-Montreal-Ave-75208/home/30847496,NTREIS,14045949,N,Y,32.7483119,-96.8540924
MLS Listing,,Single Family Residential,6555 Fisher Rd,Dallas,TX,75214,385000,3,2.0,Fisher Road Heights 03,1379,7362,1956,10,279,,Active,,,http://www.redfin.com/TX/Dallas/6555-Fisher-Rd-75214/home/30870201,NTREIS,14041666,N,Y,32.8512263,-96.7468271
MLS Listing,,Single Family Residential,1201 College Park Blvd,Richardson,TX,75081,384900,4,3.0,College Park Sec 02,2548,9627,1977,11,151,,Active,,,http://www.redfin.com/TX/Richardson/1201-College-Park-Blvd-75081/home/31925747,NTREIS,14046009,N,Y,32.933908,-96.7076989
MLS Listing,,Single Family Residential,4557 Surf Dr,Dallas,TX,75214,375000,2,1.5,Mockingbird Hill,1356,8015,1952,11,277,,Active,March-30-2019 01:30 PM,March-30-2019 03:00 PM,http://www.redfin.com/TX/Dallas/4557-Surf-Dr-75214/home/30823127,NTREIS,14046643,N,Y,32.8430026,-96.7464153
MLS Listing,,Condo/Co-op,2103 Bennett Ave #50,Dallas,TX,75206,400000,2,2.5,The Block,1610,35981,2016,11,248,230,Active,,,http://www.redfin.com/TX/Dallas/2103-Bennett-Ave-75206/unit-50/home/147236033,NTREIS,14046082,N,Y,32.8103165,-96.7795298
MLS Listing,,Single Family Residential,6708 Roundrock Rd,Dallas,TX,75248,389000,4,2.5,Preston Meadow Estates 2,2517,9714,1971,11,155,,Active,,,http://www.redfin.com/TX/Dallas/6708-Roundrock-Rd-75248/home/31077485,NTREIS,14046322,N,Y,32.956405,-96.7940976
MLS Listing,,Townhouse,5926 Chipping Way,Dallas,TX,75252,385000,3,3.0,Amber Trails 02,1947,1742,2004,11,198,325,Active,,,http://www.redfin.com/TX/Dallas/5926-Chipping-Way-75252/home/30743527,NTREIS,14044809,N,Y,32.98683,-96.806042
MLS Listing,,Single Family Residential,5700 Worth St,Dallas,TX,75214,375000,3,2.0,Junius Heights,1482,8712,1912,12,253,,Active,,,http://www.redfin.com/TX/Dallas/5700-Worth-St-75214/home/30801832,NTREIS,14045406,N,Y,32.8052135,-96.7582445
MLS Listing,,Single Family Residential,11517 Rockcraft St,Dallas,TX,75218,399900,3,2.0,Lochwood,2062,7928,1961,12,194,,Active,,,http://www.redfin.com/TX/Dallas/11517-Rockcraft-St-75218/home/30863277,NTREIS,14033732,N,Y,32.8494424,-96.6951627
MLS Listing,,Single Family Residential,3621 Coral Gables Dr,Dallas,TX,75229,399990,4,2.0,Park Forest Add Instl 01,2168,11718,1958,13,184,,Active,,,http://www.redfin.com/TX/Dallas/3621-Coral-Gables-Dr-75229/home/30932155,NTREIS,14044744,N,Y,32.9060332,-96.8587838
MLS Listing,,Single Family Residential,2006 Indian Trl,Rowlett,TX,75088,385000,4,2.5,Westwood Shores Ph 01,3477,10324,1997,14,111,,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Rowlett/2006-Indian-Trl-75088/home/32029832,NTREIS,14041268,N,Y,32.8872517,-96.5809454
MLS Listing,,Single Family Residential,702 N Windomere Ave,Dallas,TX,75208,399000,3,2.0,Oak Cliff Annex,1576,5009,1923,15,253,,Active,April-7-2019 03:00 PM,April-7-2019 05:00 PM,http://www.redfin.com/TX/Dallas/702-N-Windomere-Ave-75208/home/30831156,NTREIS,14043273,N,Y,32.7510459,-96.8450025
