SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,10210 Strait Ln,Dallas,TX,75229,23000000,6,9.0,BLK 5529,11387,280918,1963,29,2020,,Active,,,http://www.redfin.com/TX/Dallas/10210-Strait-Ln-75229/home/30878427,NTREIS,14033538,N,Y,32.8827118,-96.8237938
MLS Listing,,Single Family Residential,3617 Crescent Ave,Highland Park,TX,75205,12950000,4,6.5,Highland Park 01 Instl,10483,27704,2014,44,1235,,Active,,,http://www.redfin.com/TX/Dallas/3617-Crescent-Ave-75205/home/32064465,NTREIS,14023279,N,Y,32.8242347,-96.7956565
MLS Listing,,Single Family Residential,4926 Deloache Ave,Dallas,TX,75220,12495000,7,10.5,Sunnybrook Estates,14179,71656,2017,54,881,,Active,April-14-2019 01:00 PM,April-14-2019 03:00 PM,http://www.redfin.com/TX/Dallas/4926-Deloache-Ave-75220/home/32305942,NTREIS,14016159,N,Y,32.871182,-96.8240044
MLS Listing,,Single Family Residential,3800 Beverly Dr,Highland Park,TX,75205,11995000,4,6.5,Highland Park 2nd Instl,8938,36852,1922,65,1342,,Active,,,http://www.redfin.com/TX/Dallas/3800-Beverly-Dr-75205/home/32064347,NTREIS,14009634,N,Y,32.8326795,-96.7967744
MLS Listing,,Vacant Land,4500 Lakeside Dr,Highland Park,TX,75205,14000000,0,,Highland Park,,52751,,68,,,Active,,,http://www.redfin.com/TX/Dallas/4500-Lakeside-Dr-75205/home/32064380,NTREIS,14007531,N,Y,32.827442,-96.801656
MLS Listing,,Single Family Residential,4009 W Lawther Dr,Dallas,TX,75214,14900000,5,6.5,Mt. Vernon,10511,435600,1929,85,1418,,Active,,,http://www.redfin.com/TX/Dallas/4009-W-Lawther-Dr-75214/home/30730472,NTREIS,13997215,N,Y,32.835833,-96.7268579
MLS Listing,,Single Family Residential,4224 Armstrong Pkwy,Highland Park,TX,75205,15528000,5,7.5,Highland Park,11459,21998,1928,100,1355,,Active,,,http://www.redfin.com/TX/Dallas/4224-Armstrong-Pkwy-75205/home/32067229,NTREIS,13980649,N,Y,32.8247965,-96.8048951
MLS Listing,,Single Family Residential,5031 Deloache Ave,Dallas,TX,75220,14995000,5,9.0,Sunnybrook Estates,15402,84027,2005,120,974,,Active,,,http://www.redfin.com/TX/Dallas/5031-Deloache-Ave-75220/home/30879636,NTREIS,13965870,N,Y,32.8715638,-96.8218273
MLS Listing,,Single Family Residential,3509 Euclid Ave,Highland Park,TX,75205,16750000,7,11.5,Highland Park,18100,41687,2012,164,925,,Active,,,http://www.redfin.com/TX/Dallas/3509-Euclid-Ave-75205/home/32064259,NTREIS,13955347,N,Y,32.8255476,-96.7922773
MLS Listing,,Single Family Residential,5619 Walnut Hill Ln,Dallas,TX,75229,29500000,10,14.5,Thomas Hicks,27092,529559,1938,254,1089,,Active,,,http://www.redfin.com/TX/Dallas/5619-Walnut-Hill-Ln-75229/home/30877978,NTREIS,13888776,N,Y,32.8810445,-96.8103573
MLS Listing,,Single Family Residential,3428 Beverly Dr,Highland Park,TX,75205,12500000,5,7.5,Highland Park 4th Inst,12940,36111,1920,310,966,,Active,,,http://www.redfin.com/TX/Dallas/3428-Beverly-Dr-75205/home/32065663,NTREIS,13848507,N,Y,32.8327977,-96.7888042
MLS Listing,,Vacant Land,4700 Lakeside Dr,Highland Park,TX,75205,14000000,0,,Highland Park,,31537,1918,324,,,Active,,,http://www.redfin.com/TX/Dallas/4700-Lakeside-Dr-75205/home/32064356,NTREIS,13839400,N,Y,32.8283117,-96.8011493
MLS Listing,,Single Family Residential,4009 Armstrong Ave,Highland Park,TX,75205,12700000,5,6.0,Armstrong,8331,70567,1941,509,1524,,Active,March-31-2019 03:30 PM,March-31-2019 05:30 PM,http://www.redfin.com/TX/Dallas/4009-Armstrong-Ave-75205/home/32069993,NTREIS,13717628,N,Y,32.8228183,-96.8003548
MLS Listing,,Single Family Residential,4400 Belfort Ave,Highland Park,TX,75205,10500000,5,6.0,Highland Park,7343,43429,1937,561,1430,,Active,,,http://www.redfin.com/TX/Dallas/4400-Belfort-Pl-75205/home/32067365,NTREIS,13694895,N,Y,32.826105,-96.8098741
MLS Listing,,Ranch,3805 Troy Rd,Rockwall,TX,75098,11000000,0,,multiple,,10977120,,684,,,Active,,,http://www.redfin.com/TX/Wylie/3805-Troy-Rd-75098/home/33965669,NTREIS,13596934,N,Y,32.968535,-96.513775
