SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5323 Willis Ave,Dallas,TX,75206,485000,3,2.5,Vickery Place,1404,7797,1920,3,345,,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/5323-Willis-Ave-75206/home/30807342,NTREIS,14043467,N,Y,32.8204601,-96.7789089
MLS Listing,,Single Family Residential,12710 High Meadow Dr,Dallas,TX,75244,489000,4,2.0,Meadow Park Inst 05,2512,9845,1966,12,195,,Active,,,http://www.redfin.com/TX/Dallas/12710-High-Meadow-Dr-75244/home/31095457,NTREIS,14036866,N,Y,32.9164536,-96.8489616
MLS Listing,,Single Family Residential,9647 Atherton Dr,Dallas,TX,75243,494900,5,3.5,Town Creek Add,3374,10890,1973,17,147,10,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/9647-Atherton-Dr-75243/home/31070583,NTREIS,14034903,N,Y,32.9032638,-96.7302911
MLS Listing,,Single Family Residential,10554 Creekmere Dr,Dallas,TX,75218,500000,3,2.5,Lochwood,2200,10498,1964,52,227,,Active,March-30-2019 01:00 PM,March-30-2019 03:00 PM,http://www.redfin.com/TX/Dallas/10554-Creekmere-Dr-75218/home/30863230,NTREIS,14015047,N,Y,32.8509646,-96.697043
MLS Listing,,Condo/Co-op,5200 Keller Springs Rd #610,Dallas,TX,75248,489000,3,3.0,Bonaventure Condo,2272,331012,1981,1,215,1132,Active,,,http://www.redfin.com/TX/Dallas/5200-Keller-Springs-Rd-75248/unit-610/home/147039532,NTREIS,14054929,N,Y,32.9677598,-96.8184364
MLS Listing,,Condo/Co-op,3930 Bowser Ave #4,Dallas,TX,75219,479000,2,3.0,Thirty9Thirty Condos,1627,15987,2008,1,294,245,Active,March-31-2019 01:00 PM,March-31-2019 03:00 PM,http://www.redfin.com/TX/Dallas/3930-Bowser-Ave-75219/unit-4/home/32396235,NTREIS,14054837,N,Y,32.8140145,-96.8059534
MLS Listing,,Single Family Residential,9647 Whitehurst Dr,Dallas,TX,75243,499999,4,3.0,Town Creek,2841,,1973,1,176,,Active,,,http://www.redfin.com/TX/Dallas/9647-Whitehurst-Dr-75243/home/31070647,NTREIS,14054650,N,Y,32.901533,-96.729873
MLS Listing,,Single Family Residential,9361 Creel Creek Dr,Dallas,TX,75228,450000,3,3.0,Lindenwood Park 03 Inst,2746,12720,1978,1,164,,Active,,,http://www.redfin.com/TX/Dallas/9361-Creel-Creek-Dr-75228/home/30998477,NTREIS,14054372,N,Y,32.821592,-96.6959148
MLS Listing,,Single Family Residential,6923 Meadow Lake Ave,Dallas,TX,75214,495000,3,2.0,Westlake Park Rev,1473,8668,1935,1,336,,Active,,,http://www.redfin.com/TX/Dallas/6923-Meadow-Lake-Ave-75214/home/30819930,NTREIS,14051178,N,Y,32.8237951,-96.7398863
MLS Listing,,Single Family Residential,10111 Shadyview Dr,Dallas,TX,75238,499000,3,2.0,Lake Ridge Estates,2121,9278,1959,2,235,,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/10111-Shadyview-Dr-75238/home/31030504,NTREIS,14053467,N,Y,32.8727613,-96.7107184
