SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,SOURCE
MLS Listing,Single Family Residential,4411 Kelton Dr,Dallas,75209,275000,3,1,Greenway Terrace,1220,9191,1947,58,225,,Active,NTREIS
MLS Listing,Single Family Residential,4906 Meadow Vista Pl,Garland,75043,275000,3,2,Highcrest,1785,6926,1984,9,154,,Active,NTREIS
MLS Listing,Condo/Co-op,5200 Keller Springs Rd #737,Dallas,75248,275000,2,2,Bonaventure Condo,1685,331012,1981,82,163,776,Active,NTREIS
MLS Listing,Condo/Co-op,6141 Bandera Ave Unit A,Dallas,75225,275000,2,2,Park Soverign Condominiums,1384,13068,1957,18,199,506,Active,NTREIS
MLS Listing,Condo/Co-op,6211 W Northwest Hwy #906,Dallas,75225,275000,2,2,Preston Tower Condo,1132,185478,1966,16,243,846,Active,NTREIS
MLS Listing,Single Family Residential,6835 Tyree St,Dallas,75209,275000,3,2,Webster & Woods North Park,1453,6011,1940,197,189,,Active,NTREIS
MLS Listing,Vacant Land,7 Vanguard Way,Dallas,75243,275000,0,,Urban Reserve Add,,,,431,,133,Active,NTREIS
MLS Listing,Single Family Residential,8405 Creekwood Dr,Dallas,75228,275000,3,2,Forest Oaks 01 Resub,1321,15115,1984,22,208,,Active,NTREIS
MLS Listing,Single Family Residential,5302 Alazan Bay Dr,Rowlett,75089,276000,4,3,Mariner Park Sec 02,2710,8407,2000,65,102,42,Active,NTREIS
MLS Listing,Single Family Residential,3039 Rambling Dr,Dallas,75228,279000,4,2,Central Park East,2060,7841,1983,66,135,,Active,NTREIS
MLS Listing,Condo/Co-op,4508 Abbott Ave #15,Highland Park,75205,279000,1,1,Abbott Terrace Condo,623,50007,1958,75,448,209,Active,NTREIS
MLS Listing,Single Family Residential,9919 Carnegie Dr,Dallas,75228,279000,2,1,Alger Park Add,1020,8581,1951,44,274,,Active,NTREIS
MLS Listing,Single Family Residential,2750 Pease Dr,Forney,75126,279090,4,3.5,Clements Ranch,2445,4356,2019,49,114,50,Active,NTREIS
MLS Listing,Condo/Co-op,1022 Signal Ridge Pl #1022,Rockwall,75032,279500,4,3,Signal Ridge #2a & 2b,1841,5445,1984,59,152,353,Active,NTREIS
MLS Listing,Single Family Residential,126 S Westmoreland Rd,Dallas,75211,279500,3,2,Beverly Hill,1561,17424,1947,204,179,,Active,NTREIS
MLS Listing,Single Family Residential,11075 Milhof Dr,Dallas,75228,279900,3,2.5,Saint Andrews Add,2140,10367,1956,101,131,,Active,NTREIS
MLS Listing,Single Family Residential,18335 Justice Ln,Dallas,75287,279900,3,2,Liberty Hill Addition,2016,5663,1993,2,139,,Active,NTREIS
MLS Listing,Single Family Residential,2206 Elmhurst St,Rowlett,75088,279900,3,2.5,University Place,2667,10411,1984,67,105,,Active,NTREIS
MLS Listing,Single Family Residential,311 Summit Ridge Dr,Rockwall,75087,279900,4,3,Ridge Road Village,2485,13765,1985,107,113,,Active,NTREIS
MLS Listing,Single Family Residential,3729 McBroom St,Dallas,75212,279900,5,2.5,Eagle Ford Gardens,2063,4792,2019,44,136,,Active,NTREIS
MLS Listing,Condo/Co-op,4414 Buena Vista St #14,Dallas,75205,279900,2,2,Parkwood Condo,1167,35501,1973,44,240,236,Active,NTREIS
MLS Listing,Townhouse,5707 Southern Cross Dr,Rockwall,75032,279900,3,2.5,Chandlers Landing #17,1956,3572,1985,49,143,139,Active,NTREIS
MLS Listing,Single Family Residential,12425 Foothill Dr,Dallas,75253,280000,3,1,Bradshaw Wn,1504,82154,1901,52,186,,Active,NTREIS
MLS Listing,Single Family Residential,1908 N Willomet Ave,Dallas,75208,280000,3,1,Robinson,6400,6403,1940,23,44,,Active,NTREIS
MLS Listing,Single Family Residential,2107 Barberry Dr,Dallas,75211,280000,3,2,Stevens Park Village,1237,8973,1941,47,226,,Active,NTREIS
MLS Listing,Vacant Land,4700 W Davis St,Dallas,75211,280000,0,,,,161956,,349,,,Active,NTREIS
MLS Listing,Single Family Residential,5314 Somerset Dr,Rowlett,75089,280000,4,3,Mariner Park Sec 02,2778,9975,2000,180,101,43,Active,NTREIS
MLS Listing,Condo/Co-op,8616 Turtle Creek Blvd #218,Dallas,75225,280000,1,1.5,Sorrento Condo,1050,61289,2006,109,267,535,Active,NTREIS
MLS Listing,Single Family Residential,4316 Cinnabar Dr,Dallas,75227,281499,3,2,Buckner Terrace,1912,4182,1971,33,147,,Active,NTREIS
MLS Listing,Vacant Land,15 Terry Ln,Heath,75032,282600,0,,Le Ruisseau,,82067,1968,240,,,Active,NTREIS
MLS Listing,Condo/Co-op,6211 W Northwest Hwy #1004,Dallas,75225,283900,2,2,Preston Tower Condominium,1130,185522,1966,29,251,846,Active,NTREIS
MLS Listing,Single Family Residential,11306 Dalron Dr,Dallas,75218,284000,3,2,Lochwood Estates #2,1214,9017,1961,43,234,,Active,NTREIS
MLS Listing,Single Family Residential,1229 Ridgeway Dr,Richardson,75080,284000,3,2,Richardson Heights Instl 07 Sec 04,1753,7492,1959,11,162,,Active,NTREIS
MLS Listing,Townhouse,2100 Azure Pointe,Richardson,75080,284000,2,2,Lake Park Estates 01 & Univ Wrld R,1497,1437,2006,10,190,253,Active,NTREIS
