SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,6614 Brookshire Dr,Dallas,TX,75230,2199000,5,6.0,Waggoner Place,6609,15682,2005,1,333,,Active,,,http://www.redfin.com/TX/Dallas/6614-Brookshire-Dr-75230/home/30876170,NTREIS,14048177,N,Y,32.8890311,-96.7908545
MLS Listing,,Single Family Residential,5940 Azalea Ln,Dallas,TX,75230,2549000,5,6.5,Preston Royal,6158,18295,2014,1,414,,Active,March-31-2019 01:00 PM,March-31-2019 03:00 PM,http://www.redfin.com/TX/Dallas/5940-Azalea-Ln-75230/home/30876843,NTREIS,14053496,N,Y,32.8981597,-96.8055648
MLS Listing,,Single Family Residential,4441 S Versailles Ave,Highland Park,TX,75205,6950000,6,11.0,Highland Park,11698,13068,2008,2,594,,Active,,,http://www.redfin.com/TX/Dallas/4441-S-Versailles-Ave-75205/home/32068740,NTREIS,14053156,N,Y,32.8302639,-96.8120316
MLS Listing,,Single Family Residential,4425 Pomona Rd,Dallas,TX,75209,2499000,5,6.0,Bluffview Estates,6259,12284,2019,3,399,,Active,,,http://www.redfin.com/TX/Dallas/4425-Pomona-Rd-75209/home/30854402,NTREIS,14051953,N,Y,32.8549854,-96.8335716
MLS Listing,,Single Family Residential,3301 Wentwood Dr,University Park,TX,75225,2350000,5,6.5,University Heights,6069,10498,2008,3,387,,Active,March-31-2019 01:00 PM,March-31-2019 03:00 PM,http://www.redfin.com/TX/Dallas/3301-Wentwood-Dr-75225/home/32106545,NTREIS,14050775,N,Y,32.8630259,-96.7853312
MLS Listing,,Single Family Residential,3868 Potomac Ave,Highland Park,TX,75205,6295000,4,4.5,Mount Vernon 03,5786,16771,1917,4,1088,,Active,,,http://www.redfin.com/TX/Dallas/3868-Potomac-Ave-75205/home/32091916,NTREIS,14051310,N,Y,32.8379445,-96.7982197
MLS Listing,,Condo/Co-op,3505 Turtle Creek Blvd Unit 9A,Dallas,TX,75219,3150000,3,4.5,Vendome On Turtle Creek Condo,4780,90997,2002,4,659,2876,Active,,,http://www.redfin.com/TX/Dallas/3505-Turtle-Creek-Blvd-75219/unit-9A/home/30731963,NTREIS,14051557,N,Y,32.8107585,-96.8037023
MLS Listing,,Vacant Land,4509 Chiesa Rd,Rowlett,TX,75088,2500000,0,,Sunset trailer Court,,600692,,4,,,Active,,,http://www.redfin.com/TX/Rowlett/4509-Chiesa-Rd-75088/home/30738058,NTREIS,14051115,N,Y,32.90186,-96.532668
MLS Listing,,Condo/Co-op,1717 Arts Plz #2303,Dallas,TX,75201,2250000,2,2.5,One Arts Plaza,3153,,2007,5,714,2189,Active,,,http://www.redfin.com/TX/Dallas/1717-Arts-Plz-75201/unit-2303/home/30782518,NTREIS,14046935,N,Y,32.791964,-96.7951229
MLS Listing,,Vacant Land,4408 Mckinney Ave,Dallas,TX,75205,8950000,0,,Cockrell Fairland Rev,,30000,1975,5,,,Active,,,http://www.redfin.com/TX/Dallas/4408-McKinney-Ave-75205/home/30799187,NTREIS,14050435,N,Y,32.8195972,-96.7887623
MLS Listing,,Single Family Residential,4421 Bluffview Blvd,Dallas,TX,75209,3499000,5,5.5,Bluffview Estates,6676,18513,2014,5,524,,Active,March-31-2019 02:00 PM,March-31-2019 03:30 PM,http://www.redfin.com/TX/Dallas/4421-Bluffview-Blvd-75209/home/30854431,NTREIS,14049262,N,Y,32.8556206,-96.8347859
MLS Listing,,Single Family Residential,11011 Jamestown Rd,Dallas,TX,75230,2395000,5,5.5,Northaven Park,5824,18426,2019,8,411,,Active,,,http://www.redfin.com/TX/Dallas/11011-Jamestown-Rd-75230/home/30926176,NTREIS,14049307,N,Y,32.8986143,-96.8075176
