SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2208 Lola Ct,Dallas,TX,75206,649900,4,3.5,Post Office Park Add,2629,2439,2015,30,247,67,Active,,,http://www.redfin.com/TX/Dallas/2208-Lola-Ct-75206/home/104385202,NTREIS,14031326,N,Y,32.8171324,-96.7709043
Redfin Data,,Condo/Co-op,2790 Edmonds Dr,Dallas,TX,75219,615000,3,3.5,Dallas,2004,,2017,4,307,,Pre On-Market,,,http://www.redfin.com/TX/Dallas/2790-Edmonds-Dr-75219/home/143837919,Coming Soon,29263,N,Y,32.8093642,-96.8157289
Redfin Data,,Single Family Residential,6415 Wickerwood Dr,Dallas,TX,75248,675000,5,5.0,Dallas,3750,8677,1982,4,180,,Pre On-Market,,,http://www.redfin.com/TX/Dallas/6415-Wickerwood-Dr-75248/home/31111844,Coming Soon,29194,N,Y,32.971472,-96.7957297
MLS Listing,,Single Family Residential,10803 Fernald Ave,Dallas,TX,75218,650000,4,2.5,Lochwood Meadows,3068,9757,1967,1,212,,Active,,,http://www.redfin.com/TX/Dallas/10803-Fernald-Ave-75218/home/31045802,NTREIS,14054876,N,Y,32.8577485,-96.699759
MLS Listing,,Single Family Residential,4143 Entrada Way,Dallas,TX,75219,699000,3,2.5,Skyline Terrace Villas,2324,,2019,1,301,100,Active,,,http://www.redfin.com/TX/Dallas/4143-Entrada-WAY-75219/home/160894797,NTREIS,14054485,N,Y,32.812205,-96.810985
MLS Listing,,Multi-Family (2-4 Unit),3635 Mcfarlin Blvd Unit B,University Park,TX,75205,675000,3,2.5,Asbury Rep,2435,3485,1983,1,277,,Active,March-31-2019 01:00 PM,March-31-2019 03:00 PM,http://www.redfin.com/TX/Dallas/3635-McFarlin-Blvd-75205/unit-B/home/160894792,NTREIS,14054096,N,Y,32.8434658,-96.7943933
MLS Listing,,Single Family Residential,5909 Tree Shadow Pl,Dallas,TX,75252,625000,5,4.5,Bent Trail Add Ph One,4178,13504,1981,1,150,10,Active,,,http://www.redfin.com/TX/Dallas/5909-Tree-Shadow-Pl-75252/home/31849381,NTREIS,14054203,N,Y,33.0045785,-96.8069879
MLS Listing,,Single Family Residential,667 Flagstone Dr,Irving,TX,75039,689900,4,3.0,The Lakes of Las Colinas,3376,7318,2014,1,204,219,Active,March-31-2019 03:00 PM,March-31-2019 05:00 PM,http://www.redfin.com/TX/Irving/667-Flagstone-Dr-75039/home/44609152,NTREIS,14020817,N,Y,32.8776496,-96.9331787
MLS Listing,,Single Family Residential,5203 Monticello Ave,Dallas,TX,75206,619000,2,2.0,Greenland Hills,1739,7231,1930,1,356,,Active,March-31-2019 03:30 PM,March-31-2019 05:00 PM,http://www.redfin.com/TX/Dallas/5203-Monticello-Ave-75206/home/30812457,NTREIS,14053933,N,Y,32.8267314,-96.7821723
MLS Listing,,Single Family Residential,3442 Asbury St,University Park,TX,75205,649000,3,2.5,University Annex 02 Inst Rep,2436,3659,1978,1,266,,Active,,,http://www.redfin.com/TX/Dallas/3442-Asbury-St-75205/home/32099750,NTREIS,14053305,N,Y,32.8431179,-96.789179
MLS Listing,,Single Family Residential,9301 Canter Dr,Dallas,TX,75231,649000,4,3.5,Oak Highlands Estates,3571,14026,1978,1,182,,Active,,,http://www.redfin.com/TX/Dallas/9301-Canter-Dr-75231/home/31069839,NTREIS,14053113,N,Y,32.8932906,-96.7429177
MLS Listing,,Condo/Co-op,2900 McKinnon St #804,Dallas,TX,75201,699000,2,2.5,Azure Condo,1430,,2005,1,489,1115,Active,,,http://www.redfin.com/TX/Dallas/2900-McKinnon-St-75201/unit-804/home/30775249,NTREIS,14052604,N,Y,32.7955142,-96.808434
MLS Listing,,Single Family Residential,501 S Glasglow Dr,Dallas,TX,75223,648000,3,2.5,Mount Auburn,3059,6970,2019,1,212,,Active,March-30-2019 12:00 PM,March-30-2019 02:00 PM,http://www.redfin.com/TX/Dallas/501-S-Glasgow-Dr-75223/home/30801068,NTREIS,14054149,N,Y,32.8025841,-96.7483719
MLS Listing,,Single Family Residential,1220 Crestcove Dr,Rockwall,TX,75087,635000,4,3.5,Hillcrest Shores Ph Three,4004,27138,2005,1,159,37,Active,,,http://www.redfin.com/TX/Rockwall/1220-Crestcove-Dr-75087/home/33879046,NTREIS,14053757,N,Y,32.9436387,-96.4855246
MLS Listing,,Single Family Residential,9729 Lanshire Dr,Dallas,TX,75238,629000,3,3.0,Lake Ridge Estates,2316,10934,1960,1,272,,Active,March-30-2019 01:00 PM,March-30-2019 03:00 PM,http://www.redfin.com/TX/Dallas/9729-Lanshire-Dr-75238/home/30881769,NTREIS,14051004,N,Y,32.8698889,-96.718691
MLS Listing,,Single Family Residential,5810 Mercedes Ave,Dallas,TX,75206,675000,3,3.0,Greenville Crest Add,2152,7057,1948,1,314,,Active,March-31-2019 01:00 PM,March-31-2019 03:00 PM,http://www.redfin.com/TX/Dallas/5810-Mercedes-Ave-75206/home/30811612,NTREIS,14053118,N,Y,32.827683,-96.7674255
