SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2812 BRADFORD,Dallas,TX,75219,212000,2,1.5,Montebella Condo,1088,,1955,2,195,298,Active,March-31-2019 01:00 PM,March-31-2019 03:00 PM,http://www.redfin.com/TX/Dallas/2812-Bradford-Dr-75219/home/30764536,NTREIS,14051991,N,Y,32.8163255,-96.8223631
MLS Listing,,Single Family Residential,1327 Big Stone Gap Rd,Duncanville,TX,75137,250000,4,3.0,Greene,2630,9453,1978,22,95,90,Active,,,http://www.redfin.com/TX/Duncanville/1327-Big-Stone-Gap-Rd-75137/home/31316583,NTREIS,14038350,N,Y,32.6423408,-96.9397211
MLS Listing,,Condo/Co-op,4111 Cole Ave #14,Dallas,TX,75204,249000,2,2.0,4111 Cole Condos,1034,40859,1985,192,241,358,Active,,,http://www.redfin.com/TX/Dallas/4111-Cole-Ave-75204/unit-14/home/30761671,NTREIS,13932596,N,Y,32.8148087,-96.7935541
MLS Listing,,Condo/Co-op,5819 E University Blvd Unit 5819D,Dallas,TX,75206,235000,2,2.0,Williamsburg 02 Condo,1307,167880,1964,1,180,295,Active,,,http://www.redfin.com/TX/Dallas/5819-E-University-Blvd-75206/unit-5819D/home/160903360,NTREIS,14054677,N,Y,32.8457835,-96.766483
MLS Listing,,Single Family Residential,7964 Vista Hill Ln,Dallas,TX,75249,204900,3,2.0,Mountain Vista,1528,5140,2001,1,134,,Active,,,http://www.redfin.com/TX/Dallas/7964-Vista-Hill-Ln-75249/home/31156424,NTREIS,14054660,N,Y,32.6557421,-96.9634638
MLS Listing,,Single Family Residential,3122 Furneaux Ln,Carrollton,TX,75007,230000,3,2.0,Woodlake 3,1437,7710,1973,1,160,,Active,,,http://www.redfin.com/TX/Carrollton/3122-Furneaux-Ln-75007/home/32964875,NTREIS,14054078,N,Y,33.0023471,-96.8752691
MLS Listing,,Single Family Residential,3007 June Dr,Dallas,TX,75211,219000,3,2.0,Loupot Heights,1300,9627,1950,1,168,,Active,,,http://www.redfin.com/TX/Dallas/3007-June-Dr-75211/home/30891560,NTREIS,14048568,N,Y,32.72338,-96.8700947
MLS Listing,,Single Family Residential,1303 Arizona Ave,Dallas,TX,75216,249900,3,2.0,Cedar Oaks,1450,7013,1950,1,172,,Active,,,http://www.redfin.com/TX/Dallas/1303-Arizona-Ave-75216/home/30835514,NTREIS,14046488,N,Y,32.7329319,-96.8181642
MLS Listing,,Single Family Residential,2327 Salerno Dr,Dallas,TX,75224,250000,4,2.0,Wynnewood,2000,10716,1946,1,125,,Active,,,http://www.redfin.com/TX/Dallas/2327-Salerno-Dr-75224/home/30892677,NTREIS,14051015,N,Y,32.7195075,-96.8349115
MLS Listing,,Single Family Residential,9917 Windledge Dr,Dallas,TX,75238,250000,3,2.0,Lake North Estates,1601,8886,1962,1,156,,Active,March-30-2019 01:00 PM,March-30-2019 03:00 PM,http://www.redfin.com/TX/Dallas/9917-Windledge-Dr-75238/home/31061929,NTREIS,14050512,N,Y,32.8846133,-96.7151591
MLS Listing,,Multi-Family (2-4 Unit),13712 Biggs St,Dallas,TX,75253,205000,6,5.0,J E Biggs Sub,2544,10498,2006,1,81,,Active,,,http://www.redfin.com/TX/Dallas/13712-Biggs-St-75253/home/31158809,NTREIS,14054066,N,Y,32.68108,-96.593276
MLS Listing,,Multi-Family (2-4 Unit),13706 Biggs St,Dallas,TX,75253,205000,6,4.0,Biggs J E,2544,10498,2006,1,81,,Active,,,http://www.redfin.com/TX/Dallas/13706-Biggs-St-75253/home/31158812,NTREIS,14054059,N,Y,32.681174,-96.593397
MLS Listing,,Single Family Residential,450 Trail View Ln,Garland,TX,75043,235000,4,2.0,Trail Vly #1,2047,8059,1983,1,115,,Active,March-31-2019 12:00 PM,March-31-2019 03:00 PM,http://www.redfin.com/TX/Garland/450-Trail-View-Ln-75043/home/31492854,NTREIS,14054010,N,Y,32.843648,-96.6127355
MLS Listing,,Townhouse,6619 Ports O Call Dr,Rowlett,TX,75088,242000,4,3.0,Vue Du Lac,1754,3180,1983,1,138,55,Active,,,http://www.redfin.com/TX/Rowlett/6619-Ports-O-Call-Dr-75088/home/32028425,NTREIS,14053485,N,Y,32.8840779,-96.5381873
MLS Listing,,Condo/Co-op,4224 Rawlins St #105,Dallas,TX,75219,215000,2,1.5,Britty Condo,946,19776,1953,2,227,232,Active,,,http://www.redfin.com/TX/Dallas/4224-Rawlins-St-75219/unit-105/home/31163780,NTREIS,14053223,N,Y,32.8152033,-96.8113194
MLS Listing,,Single Family Residential,105 Highcrest Ln,Rockwall,TX,75087,245000,3,2.0,Northshore #1a,1842,11021,1983,2,133,,Active,,,http://www.redfin.com/TX/Rockwall/105-Highcrest-Ln-75087/home/33916787,NTREIS,14049772,N,Y,32.9320934,-96.4748641
MLS Listing,,Single Family Residential,6083 Mapleshade Ln,Dallas,TX,75252,250000,2,2.0,Lloyd Add Tr 8,1448,3485,1992,2,173,,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/6083-Mapleshade-Ln-75252/home/32052476,NTREIS,14050772,N,Y,33.0069184,-96.8002076
MLS Listing,,Single Family Residential,14339 Open Range Dr,Dallas,TX,75253,203900,3,2.0,Shady Oaks,1552,5314,2019,2,131,25,Active,,,http://www.redfin.com/TX/Dallas/14339-Open-Range-DR-75253/home/160818669,NTREIS,14053457,N,Y,32.6759,-96.587955
MLS Listing,,Single Family Residential,4405 Duck Pond Ln,Rowlett,TX,75088,239900,3,2.5,Lakeshore Park Estates,2120,6011,1989,2,113,,Active,,,http://www.redfin.com/TX/Rowlett/4405-Duck-Pond-Ln-75088/home/33930617,NTREIS,14052816,N,Y,32.9014834,-96.5142879
MLS Listing,,Single Family Residential,548 Doral Pl,Garland,TX,75043,209475,3,2.0,La Prada 03,2205,7187,1977,2,95,,Active,,,http://www.redfin.com/TX/Garland/548-Doral-Pl-75043/home/31416868,NTREIS,14052845,N,Y,32.8483299,-96.6220836
MLS Listing,,Single Family Residential,10915 Estacado Dr,Dallas,TX,75228,229900,3,2.0,Casa View Heights,1710,7405,1951,2,134,,Active,March-30-2019 01:00 PM,March-30-2019 03:00 PM,http://www.redfin.com/TX/Dallas/10915-Estacado-Dr-75228/home/30864888,NTREIS,14053090,N,Y,32.8466956,-96.6776161
MLS Listing,,Single Family Residential,10923 Park Oak Cir,Dallas,TX,75228,205000,3,2.0,Country Club Park 03,1152,7667,1955,2,178,,Active,,,http://www.redfin.com/TX/Dallas/10923-Park-Oak-Cir-75228/home/31019941,NTREIS,14053052,N,Y,32.8421112,-96.6582787
MLS Listing,,Townhouse,3929 Roma Ct,Rockwall,TX,75087,210000,2,1.5,Lakeside Village #1,1440,828,1976,2,146,130,Active,,,http://www.redfin.com/TX/Rockwall/3929-Roma-Ct-75087/home/33912955,NTREIS,14052999,N,Y,32.898779,-96.480489
MLS Listing,,Single Family Residential,935 Edgedale Dr,Dallas,TX,75232,219900,4,2.0,Polk Terrace 11,1741,10193,2019,2,126,,Active,,,http://www.redfin.com/TX/Dallas/935-Edgedale-Dr-75232/home/31029742,NTREIS,14052871,N,Y,32.6498829,-96.8375077
MLS Listing,,Single Family Residential,14247 Greenhaw Ln,Dallas,TX,75253,219900,3,2.0,Shady Oaks Estates,1824,5750,2019,3,121,25,Active,,,http://www.redfin.com/TX/Dallas/14247-Greenhaw-Ln-75253/home/30775131,NTREIS,14052247,N,Y,32.676228,-96.5860469
MLS Listing,,Single Family Residential,2559 Sundance Ln,Dallas,TX,75287,244900,3,2.0,Morningside 4 Ph A,1403,4617,1984,3,175,,Active,,,http://www.redfin.com/TX/Dallas/2559-Sundance-Ln-75287/home/33152618,NTREIS,14048233,N,Y,32.9956762,-96.870388
MLS Listing,,Single Family Residential,1524 Marion Dr,Dallas,TX,75211,200000,4,2.0,Las Haciendas Instl 03,1595,6665,1998,3,125,,Active,,,http://www.redfin.com/TX/Dallas/1524-Marion-Dr-75211/home/31138134,NTREIS,14052445,N,Y,32.7289449,-96.8926806
MLS Listing,,Single Family Residential,410 S Westmoreland Rd,Dallas,TX,75211,245000,2,1.0,Irwindell Add,1046,7144,1926,3,234,,Active,,,http://www.redfin.com/TX/Dallas/410-S-Westmoreland-Rd-75211/home/30838573,NTREIS,14049475,N,Y,32.7420034,-96.8739074
MLS Listing,,Single Family Residential,804 Grandview Ave,Dallas,TX,75223,229000,3,1.0,Mount Auburn,1162,7231,1921,4,197,,Active,,,http://www.redfin.com/TX/Dallas/804-Grandview-Ave-75223/home/30800773,NTREIS,14051584,N,Y,32.7986938,-96.7479461
