SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),3619 Dorothy Ave,Dallas,TX,75209,590888,3,2.5,Blue Sky at West HP,2348,2570,2017,81,252,40,Active,,,http://www.redfin.com/TX/Dallas/3619-Dorothy-Ave-75209/home/143837949,NTREIS,13995592,N,Y,32.8283017,-96.8217255
Redfin Data,,Single Family Residential,4702 Belmont Ave,Dallas,TX,75204,575000,4,3.5,Dallas,2754,2178,2007,4,209,,Pre On-Market,,,http://www.redfin.com/TX/Dallas/4702-Belmont-Ave-75204/home/30809107,Coming Soon,29189,N,Y,32.810508,-96.78484
MLS Listing,,Condo/Co-op,2200 Victory Ave #1201,Dallas,TX,75219,575000,1,1.5,The House Condos,1540,53709,2007,1,373,1157,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/2200-Victory-Ave-75219/unit-1201/home/30782378,NTREIS,14054327,N,Y,32.7849571,-96.8096512
MLS Listing,,Single Family Residential,5127 Mission Ave,Dallas,TX,75206,575000,3,2.5,Cochran Heights,2869,3485,2006,1,200,,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/5127-Mission-Ave-75206/home/30808624,NTREIS,14054383,N,Y,32.816844,-96.782895
MLS Listing,,Single Family Residential,1323 N Edgefield Ave,Dallas,TX,75208,585000,2,2.5,Ruhl C L,1951,8538,1952,1,300,,Active,March-30-2019 01:00 PM,March-30-2019 03:00 PM,http://www.redfin.com/TX/Dallas/1323-N-Edgefield-Ave-75208/home/30836758,NTREIS,14054104,N,Y,32.7612081,-96.8437893
MLS Listing,,Single Family Residential,5960 Encore Dr,Dallas,TX,75240,559000,3,3.5,En Core,3020,8799,1983,1,185,33,Active,,,http://www.redfin.com/TX/Dallas/5960-Encore-Dr-75240/home/31149542,NTREIS,14032500,N,Y,32.9360772,-96.8045603
MLS Listing,,Single Family Residential,8634 San Fernando Way,Dallas,TX,75218,579900,3,2.0,Lake Crest Add,2036,8189,2013,2,285,,Active,,,http://www.redfin.com/TX/Dallas/8634-San-Fernando-Way-75218/home/50275810,NTREIS,14049064,N,Y,32.8225443,-96.7119768
MLS Listing,,Single Family Residential,7118 Debbe Dr,Dallas,TX,75252,550000,4,3.5,Highlands of Mckamy #5,3442,10890,1984,2,160,,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/7118-Debbe-Dr-75252/home/32161522,NTREIS,14046304,N,Y,32.9935631,-96.7829045
MLS Listing,,Single Family Residential,8715 Arbor Park Dr,Dallas,TX,75243,599000,5,4.5,Little Town Creek,4035,10106,1979,2,148,,Active,April-7-2019 02:00 PM,April-7-2019 04:00 PM,http://www.redfin.com/TX/Dallas/8715-Arbor-Park-Dr-75243/home/31069437,NTREIS,14053297,N,Y,32.8954297,-96.7308764
MLS Listing,,Single Family Residential,11024 CREEKMERE Dr,Dallas,TX,75218,589900,4,3.0,LOCKWOOD,2551,10193,1964,2,231,,Active,,,http://www.redfin.com/TX/Dallas/11024-Creekmere-Dr-75218/home/30863899,NTREIS,14051905,N,Y,32.8516834,-96.689752
