SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,1516 Pecos St,Dallas,TX,75204,529000,3,2.5,Bryan Heights Ph 03,2804,2134,2001,1,189,,Active,March-30-2019 12:00 PM,March-30-2019 02:00 PM,http://www.redfin.com/TX/Dallas/1516-Pecos-St-75204/home/32212256,NTREIS,14053912,N,Y,32.7963454,-96.7850786
MLS Listing,,Single Family Residential,6023 Highplace Cir,Dallas,TX,75254,515000,3,3.0,Regency Place,3059,5837,1980,8,168,55,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/6023-Highplace-Cir-75254/home/31073601,NTREIS,14040153,N,Y,32.9416931,-96.8024048
MLS Listing,,Condo/Co-op,6029 Hillcrest Ave Unit B2,University Park,TX,75205,530000,3,2.0,New Highland Condo,1940,18557,1980,12,273,320,Active,,,http://www.redfin.com/TX/Dallas/6029-Hillcrest-Ave-75205/unit-B2/home/32091856,NTREIS,14044990,N,Y,32.8401306,-96.7875033
MLS Listing,,Single Family Residential,10554 Creekmere Dr,Dallas,TX,75218,500000,3,2.5,Lochwood,2200,10498,1964,52,227,,Active,March-30-2019 01:00 PM,March-30-2019 03:00 PM,http://www.redfin.com/TX/Dallas/10554-Creekmere-Dr-75218/home/30863230,NTREIS,14015047,N,Y,32.8509646,-96.697043
MLS Listing,,Single Family Residential,6910 Old Preston Pl,Dallas,TX,75252,509900,5,3.5,Old Preston Place Ph One,3437,7841,1991,1,148,,Active,,,http://www.redfin.com/TX/Dallas/6910-Old-Preston-Pl-75252/home/31883116,NTREIS,14054633,N,Y,32.9955692,-96.7939302
MLS Listing,,Single Family Residential,9256 Whitehurst Dr,Dallas,TX,75243,530000,3,2.5,Forest Meadows,2940,10367,1972,1,180,,Active,March-31-2019 01:00 PM,March-31-2019 03:00 PM,http://www.redfin.com/TX/Dallas/9256-Whitehurst-Dr-75243/home/31071049,NTREIS,14053058,N,Y,32.900165,-96.7422487
MLS Listing,,Single Family Residential,230 Classen Dr,Dallas,TX,75218,525000,3,2.0,Lake Highlands Estates,2243,9365,1952,1,234,,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/230-Classen-Dr-75218/home/30908690,NTREIS,14051723,N,Y,32.8593261,-96.7087855
MLS Listing,,Townhouse,15859 Spectrum Dr,Addison,TX,75001,504900,3,3.5,Meridian Square,2181,1437,2015,2,231,150,Active,,,http://www.redfin.com/TX/Addison/15859-Spectrum-Dr-75001/home/40149192,NTREIS,14050478,N,Y,32.965443,-96.824142
MLS Listing,,Single Family Residential,7118 Debbe Dr,Dallas,TX,75252,550000,4,3.5,Highlands of Mckamy #5,3442,10890,1984,2,160,,Active,March-31-2019 02:00 PM,March-31-2019 04:00 PM,http://www.redfin.com/TX/Dallas/7118-Debbe-Dr-75252/home/32161522,NTREIS,14046304,N,Y,32.9935631,-96.7829045
MLS Listing,,Single Family Residential,634 Promontory Ln,Dallas,TX,75208,504981,3,2.5,Reserve at Kessler Heights,2042,3223,2019,2,247,125,Active,,,http://www.redfin.com/TX/Dallas/634-Promontory-LN-75208/home/160805883,NTREIS,14053469,N,Y,32.75163,-96.852444
